value,country_code,year,month,feature_id
,ARE,2020,1,6
,ARG,2020,1,6
,AUS,2020,1,6
,CAN,2020,1,6
,CHN,2020,1,6
,CZE,2020,1,6
,DEU,2020,1,6
,EST,2020,1,6
,FIN,2020,1,6
,FJI,2020,1,6
,FRA,2020,1,6
,GBR,2020,1,6
,GRC,2020,1,6
,HKG,2020,1,6
,IND,2020,1,6
,ITA,2020,1,6
,JPN,2020,1,6
,KHM,2020,1,6
,KOR,2020,1,6
,LKA,2020,1,6
,LVA,2020,1,6
,MEX,2020,1,6
,MYS,2020,1,6
,NPL,2020,1,6
,OWID_ASI,2020,1,6
,OWID_EUN,2020,1,6
,OWID_EUR,2020,1,6
,OWID_NAM,2020,1,6
,OWID_OCE,2020,1,6
,OWID_WRL,2020,1,6
,PER,2020,1,6
,PHL,2020,1,6
,POL,2020,1,6
,PRT,2020,1,6
,RUS,2020,1,6
,SGP,2020,1,6
,THA,2020,1,6
,TWN,2020,1,6
,USA,2020,1,6
,VNM,2020,1,6
,AFG,2020,2,6
,ALB,2020,2,6
,ARE,2020,2,6
,ARG,2020,2,6
,AUS,2020,2,6
,AUT,2020,2,6
,BEL,2020,2,6
,BHR,2020,2,6
,BLR,2020,2,6
,BRA,2020,2,6
,CAN,2020,2,6
,CHE,2020,2,6
,CHL,2020,2,6
,CHN,2020,2,6
,CZE,2020,2,6
,DEU,2020,2,6
,DNK,2020,2,6
,DZA,2020,2,6
,EGY,2020,2,6
,ESP,2020,2,6
,EST,2020,2,6
,FIN,2020,2,6
,FJI,2020,2,6
,FRA,2020,2,6
,GBR,2020,2,6
,GEO,2020,2,6
,GRC,2020,2,6
,GTM,2020,2,6
,HKG,2020,2,6
,HRV,2020,2,6
,IND,2020,2,6
,IRL,2020,2,6
,IRN,2020,2,6
,IRQ,2020,2,6
,ISL,2020,2,6
,ISR,2020,2,6
,ITA,2020,2,6
,JPN,2020,2,6
,KHM,2020,2,6
,KOR,2020,2,6
,KWT,2020,2,6
,LBN,2020,2,6
,LKA,2020,2,6
,LTU,2020,2,6
,LUX,2020,2,6
,LVA,2020,2,6
,MAR,2020,2,6
,MCO,2020,2,6
,MEX,2020,2,6
,MKD,2020,2,6
,MYS,2020,2,6
,NGA,2020,2,6
,NLD,2020,2,6
,NOR,2020,2,6
,NPL,2020,2,6
,NZL,2020,2,6
,OMN,2020,2,6
,OWID_AFR,2020,2,6
,OWID_ASI,2020,2,6
,OWID_EUN,2020,2,6
,OWID_EUR,2020,2,6
,OWID_INT,2020,2,6
,OWID_NAM,2020,2,6
,OWID_OCE,2020,2,6
,OWID_SAM,2020,2,6
,OWID_WRL,2020,2,6
,PAK,2020,2,6
,PER,2020,2,6
,PHL,2020,2,6
,POL,2020,2,6
,PRT,2020,2,6
,QAT,2020,2,6
,ROU,2020,2,6
,RUS,2020,2,6
,SEN,2020,2,6
,SGP,2020,2,6
,SMR,2020,2,6
,SRB,2020,2,6
,SVN,2020,2,6
,SWE,2020,2,6
,THA,2020,2,6
,TWN,2020,2,6
,USA,2020,2,6
,VNM,2020,2,6
,ZAF,2020,2,6
,AFG,2020,3,6
,AGO,2020,3,6
,ALB,2020,3,6
,AND,2020,3,6
,ARE,2020,3,6
,ARG,2020,3,6
,ARM,2020,3,6
,ATG,2020,3,6
,AUS,2020,3,6
,AUT,2020,3,6
,AZE,2020,3,6
,BDI,2020,3,6
,BEL,2020,3,6
,BEN,2020,3,6
