value,country_code,year,month,feature_id
,ARE,2020,1,7
,ARG,2020,1,7
,AUS,2020,1,7
,CAN,2020,1,7
0.1,CHN,2020,1,7
,CZE,2020,1,7
,DEU,2020,1,7
,EST,2020,1,7
,FIN,2020,1,7
,FJI,2020,1,7
,FRA,2020,1,7
,GBR,2020,1,7
,GRC,2020,1,7
,HKG,2020,1,7
,IND,2020,1,7
,ITA,2020,1,7
,JPN,2020,1,7
,KHM,2020,1,7
,KOR,2020,1,7
,LKA,2020,1,7
,LVA,2020,1,7
,MEX,2020,1,7
,MYS,2020,1,7
,NPL,2020,1,7
0.0,OWID_ASI,2020,1,7
,OWID_EUN,2020,1,7
,OWID_EUR,2020,1,7
,OWID_NAM,2020,1,7
,OWID_OCE,2020,1,7
0.0,OWID_WRL,2020,1,7
,PER,2020,1,7
,PHL,2020,1,7
,POL,2020,1,7
,PRT,2020,1,7
,RUS,2020,1,7
,SGP,2020,1,7
,THA,2020,1,7
,TWN,2020,1,7
,USA,2020,1,7
,VNM,2020,1,7
,AFG,2020,2,7
,ALB,2020,2,7
,ARE,2020,2,7
,ARG,2020,2,7
,AUS,2020,2,7
,AUT,2020,2,7
,BEL,2020,2,7
,BHR,2020,2,7
,BLR,2020,2,7
,BRA,2020,2,7
,CAN,2020,2,7
,CHE,2020,2,7
,CHL,2020,2,7
2.0,CHN,2020,2,7
,CZE,2020,2,7
,DEU,2020,2,7
,DNK,2020,2,7
,DZA,2020,2,7
,EGY,2020,2,7
,ESP,2020,2,7
,EST,2020,2,7
,FIN,2020,2,7
,FJI,2020,2,7
0.0,FRA,2020,2,7
,GBR,2020,2,7
,GEO,2020,2,7
,GRC,2020,2,7
,GTM,2020,2,7
0.3,HKG,2020,2,7
,HRV,2020,2,7
,IND,2020,2,7
,IRL,2020,2,7
0.5,IRN,2020,2,7
,IRQ,2020,2,7
,ISL,2020,2,7
,ISR,2020,2,7
0.5,ITA,2020,2,7
0.0,JPN,2020,2,7
,KHM,2020,2,7
0.3,KOR,2020,2,7
,KWT,2020,2,7
,LBN,2020,2,7
,LKA,2020,2,7
,LTU,2020,2,7
,LUX,2020,2,7
,LVA,2020,2,7
,MAR,2020,2,7
,MCO,2020,2,7
,MEX,2020,2,7
,MKD,2020,2,7
,MYS,2020,2,7
,NGA,2020,2,7
,NLD,2020,2,7
,NOR,2020,2,7
,NPL,2020,2,7
,NZL,2020,2,7
,OMN,2020,2,7
,OWID_AFR,2020,2,7
0.6,OWID_ASI,2020,2,7
0.1,OWID_EUN,2020,2,7
0.0,OWID_EUR,2020,2,7
,OWID_INT,2020,2,7
0.0,OWID_NAM,2020,2,7
,OWID_OCE,2020,2,7
,OWID_SAM,2020,2,7
0.4,OWID_WRL,2020,2,7
,PAK,2020,2,7
,PER,2020,2,7
0.0,PHL,2020,2,7
,POL,2020,2,7
,PRT,2020,2,7
,QAT,2020,2,7
,ROU,2020,2,7
,RUS,2020,2,7
,SEN,2020,2,7
,SGP,2020,2,7
